date,region,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2023-01-01,Yangon,23.78,29.68,18.93,73.39,0.0,17.48,1.68
2023-01-02,Yangon,23.38,30.1,18.35,73.35,0.0,18.55,1.95
2023-01-03,Yangon,23.41,29.94,17.88,75.15,0.0,17.83,2.01
2023-01-04,Yangon,24.79,31.05,19.68,75.04,0.0,18.19,1.64
2023-01-05,Yangon,25.64,32.17,20.21,74.6,0.0,17.45,1.88
2023-01-06,Yangon,25.41,31.33,21.25,72.4,0.0,17.65,2.61
2023-01-07,Yangon,24.06,30.16,19.74,68.69,0.0,18.53,2.57
2023-01-08,Yangon,23.72,31.12,17.97,68.7,0.0,19.09,1.86
2023-01-09,Yangon,24.16,32.27,17.62,67.71,0.0,14.24,1.55
2023-01-10,Yangon,24.99,32.53,17.48,64.79,0.0,18.46,1.14
2023-01-11,Yangon,24.8,32.72,17.72,57.93,0.0,18.5,1.04
2023-01-12,Yangon,23.91,32.39,16.63,57.54,0.0,19.55,1.21
2023-01-13,Yangon,23.59,31.9,16.45,60.61,0.0,19.97,1.5
2023-01-14,Yangon,23.05,31.62,14.96,54.08,0.0,20.49,1.33
2023-01-15,Yangon,23.31,32.32,14.39,48.85,0.0,20.53,1.52
2023-01-16,Yangon,22.95,31.68,15.22,60.75,0.0,18.73,1.27
2023-01-17,Yangon,23.93,31.76,17.37,65.81,0.0,19.1,1.37
2023-01-18,Yangon,24.36,32.27,17.29,67.68,0.0,17.3,1.13
2023-01-19,Yangon,24.73,31.93,18.54,70.29,0.0,17.76,1.39
2023-01-20,Yangon,24.52,32.38,17.89,66.81,0.0,19.64,1.65
2023-01-21,Yangon,24.4,32.49,17.33,64.91,0.0,20.03,1.24
2023-01-22,Yangon,24.42,32.91,18.3,62.44,0.0,20.55,1.12
2023-01-23,Yangon,24.38,33.48,17.55,62.05,0.0,20.42,1.3
2023-01-24,Yangon,24.96,33.87,17.18,64.69,0.0,19.68,1.85
2023-01-25,Yangon,24.36,31.43,19.46,58.66,0.0,18.48,2.85
2023-01-26,Yangon,24.54,32.46,18.23,63.87,0.0,18.92,1.54
2023-01-27,Yangon,25.46,33.63,18.61,64.97,0.0,18.86,2.2
2023-01-28,Yangon,24.57,31.29,20.15,60.18,0.0,19.54,3.58
2023-01-29,Yangon,23.3,29.94,18.41,57.85,0.0,19.94,3.69
2023-01-30,Yangon,23.03,30.57,17.06,57.76,0.0,20.17,3.13
2023-01-31,Yangon,24.85,32.71,18.14,57.76,0.0,19.54,1.76
2023-02-01,Yangon,26.82,34.93,20.97,54.69,0.0,17.85,1.4
2023-02-02,Yangon,27.39,35.88,20.22,56.9,0.0,18.66,1.47
2023-02-03,Yangon,28.4,37.01,21.16,56.53,0.0,18.33,1.53
2023-02-04,Yangon,28.69,37.37,21.58,52.99,0.07,17.62,1.57
2023-02-05,Yangon,28.84,37.06,22.21,45.65,0.0,17.79,1.79
2023-02-06,Yangon,28.53,37.28,20.9,40.48,0.0,20.65,1.95
2023-02-07,Yangon,27.85,36.44,20.66,40.27,0.0,19.91,2.41
2023-02-08,Yangon,26.42,35.69,18.59,38.16,0.0,21.66,1.98
2023-02-09,Yangon,26.06,36.4,16.84,37.5,0.0,21.5,1.49
2023-02-10,Yangon,26.54,36.71,17.91,44.02,0.0,20.68,1.87
2023-02-11,Yangon,27.0,37.17,18.25,44.15,0.0,21.05,1.98
2023-02-12,Yangon,26.77,37.28,17.64,45.72,0.0,21.36,1.43
2023-02-13,Yangon,26.83,36.84,18.22,48.45,0.0,21.82,1.73
2023-02-14,Yangon,26.7,36.86,18.36,49.67,0.0,22.53,1.44
2023-02-15,Yangon,27.03,36.85,17.73,48.93,0.21,21.78,2.11
2023-02-16,Yangon,26.81,32.33,23.06,68.94,12.0,18.07,2.37
2023-02-17,Yangon,25.41,30.55,23.03,75.61,4.62,13.16,1.94
2023-02-18,Yangon,27.09,34.31,21.78,63.24,0.34,21.16,1.26
2023-02-19,Yangon,27.53,35.91,19.64,52.31,0.0,22.58,1.33
2023-02-20,Yangon,26.82,35.58,18.93,52.82,0.0,21.18,1.74
2023-02-21,Yangon,27.61,36.07,19.66,53.74,0.0,20.53,1.67
2023-02-22,Yangon,27.98,36.42,20.42,53.45,0.0,18.8,1.54
2023-02-23,Yangon,28.53,36.32,22.1,51.51,0.0,18.62,1.7
2023-02-24,Yangon,28.27,37.15,20.09,46.67,0.0,21.11,1.92
2023-02-25,Yangon,27.61,34.5,22.07,51.45,0.0,19.61,2.09
2023-02-26,Yangon,27.43,33.9,23.09,50.42,0.0,20.79,3.53
2023-02-27,Yangon,26.8,34.0,20.92,47.14,0.0,20.86,2.84
2023-02-28,Yangon,26.95,35.29,19.2,48.89,0.0,18.54,1.66
2023-03-01,Yangon,28.52,37.11,20.55,44.02,0.0,21.87,1.75
2023-03-02,Yangon,29.46,38.48,20.74,43.23,0.0,18.64,1.64
2023-03-03,Yangon,29.6,38.71,21.81,44.91,0.0,18.13,1.5
2023-03-04,Yangon,29.44,38.03,21.64,44.68,0.0,19.77,1.67
2023-03-05,Yangon,29.46,37.24,23.0,51.14,0.0,16.65,1.84
2023-03-06,Yangon,29.61,37.58,22.25,46.23,0.0,18.97,1.67
2023-03-07,Yangon,29.92,37.89,22.24,44.42,0.0,19.31,1.39
2023-03-08,Yangon,30.31,38.7,22.5,46.31,0.0,19.26,1.73
2023-03-09,Yangon,31.32,39.82,23.54,44.93,0.0,20.01,1.91
2023-03-10,Yangon,31.56,39.12,24.32,40.4,0.0,18.44,1.5
2023-03-11,Yangon,32.24,39.92,26.07,39.76,0.01,16.35,1.3
2023-03-12,Yangon,30.53,36.22,26.2,60.98,4.75,14.08,1.48
2023-03-13,Yangon,28.23,31.38,25.74,65.62,0.28,13.96,2.94
2023-03-14,Yangon,28.32,34.3,23.18,55.31,0.02,17.95,2.06
2023-03-15,Yangon,29.16,34.72,23.71,57.17,0.3,19.06,1.28
2023-03-16,Yangon,31.22,38.49,23.73,46.36,0.01,20.28,1.86
2023-03-17,Yangon,31.77,39.26,24.82,41.05,0.01,19.26,1.92
2023-03-18,Yangon,32.09,39.35,25.03,46.12,0.38,20.96,1.82
2023-03-19,Yangon,32.3,39.7,25.74,42.21,0.56,20.82,2.21
2023-03-20,Yangon,32.1,39.26,25.78,42.88,0.0,21.75,2.86
2023-03-21,Yangon,32.11,39.76,26.08,36.78,0.0,22.18,2.77
